boarding_time,cid,destination,leave_time,source,start_time,waiting_time,journey_time
1429.0103309182725,41,B1,1489.0103309182725,5,455.19430111256594,973.8160298057066,1033.8160298057066
1429.0103309182725,40,B1,1489.0103309182725,5,454.4445175151535,974.565813403119,1034.5658134031191
1398.502721681918,149,15,1502.502721681918,5,1388.502721681918,10.0,114.0
1429.0103309182725,113,B3,1512.0103309182725,5,1115.9694753403003,313.04085557797225,396.04085557797225
1429.0103309182725,121,B4,1523.0103309182725,5,1167.0483873228509,261.96194359542164,355.96194359542164
1429.0103309182725,80,B4,1523.0103309182725,5,835.9047744451011,593.1055564731714,687.1055564731714
1524.4242918760929,156,6,1536.4242918760929,5,1504.4242918760929,20.0,32.0
1563.502721681918,151,8,1575.502721681918,9,1407.648599231429,155.85412245048906,167.85412245048906
1564.6263565631484,157,14,1595.6263565631484,11,1554.6263565631484,10.0,41.0
1479.8387032214277,146,15,1606.6263565631484,3,1377.8387032214277,102.0,228.78765334172067
1603.9929211852732,159,13,1635.9929211852732,10,1573.9929211852732,30.0,62.0
1642.527778047437,155,12,1656.527778047437,13,1501.145688739499,141.38208930793803,155.38208930793803
1636.9929211852732,163,15,1657.9929211852732,13,1622.527778047437,14.465143137836094,35.465143137836094
1642.527778047437,165,11,1669.527778047437,13,1636.1826046793026,6.34517336813451,33.34517336813451
1642.527778047437,112,11,1669.527778047437,13,1110.720234142997,531.8075439044401,558.8075439044401
1674.344967647674,164,B4,1685.344967647674,B3,1634.344967647674,40.0,51.0
1626.5273741320682,162,B4,1687.5273741320682,3,1606.5273741320682,20.0,81.0
1642.527778047437,134,6,1721.527778047437,13,1316.403935873692,326.12384217374506,405.12384217374506
1695.1826923115702,169,14,1757.1826923115702,8,1685.1826923115702,10.0,72.0
1750.4170465363825,174,7,1771.4170465363825,9,1740.4170465363825,10.0,31.0
1744.527778047437,167,1,1775.527778047437,4,1649.7816773119737,94.74610073546341,125.74610073546341
1657.527778047437,160,B1,1786.527778047437,12,1577.0908393053173,80.43693874211976,209.43693874211976
1722.527778047437,154,B4,1817.527778047437,6,1478.7437051972786,243.7840728501585,338.7840728501585
1772.4170465363825,152,1,1846.64121267448,7,1435.8182978982093,336.5987486381732,410.82291477627064
1832.64121267448,177,B1,1857.64121267448,2,1792.64121267448,40.0,65.0
1772.4170465363825,171,B1,1857.64121267448,7,1709.9110642305104,62.50598230587207,147.73014844396948
1722.947454059361,168,B1,1857.64121267448,11,1682.947454059361,40.0,174.6937586151189
1827.3533859918018,87,1,1863.3533859918018,B1,928.0194855228576,899.3339004689442,935.3339004689442
1860.64121267448,178,B3,1882.64121267448,B1,1797.3533859918018,63.28782668267809,85.28782668267809
1827.3533859918018,170,3,1884.3533859918018,B1,1708.0051980705919,119.34818792120996,176.34818792120996
1805.0286911205408,173,12,1887.0286911205408,4,1735.0286911205408,70.0,152.0
1778.1826923115702,176,1,1890.1826923115702,12,1764.3676362257684,13.81505608580187,125.81505608580187
1883.64121267448,181,B4,1895.64121267448,B3,1842.0030169023225,41.63819577215736,53.63819577215736
1832.64121267448,179,B4,1895.64121267448,2,1806.0021428667924,26.63906980768752,89.63906980768752
1895.3533859918018,182,5,1906.3533859918018,4,1844.4113831170084,50.94200287479339,61.94200287479339
1888.0286911205408,148,14,1912.0286911205408,12,1382.569552141748,505.4591389787927,529.4591389787927
1891.1826923115702,186,B3,1922.1826923115702,1,1875.8998725746756,15.28281973689468,46.28281973689468
1888.0286911205408,138,15,1923.0286911205408,12,1340.7871803165285,547.2415108040123,582.2415108040123
1918.5117471884441,189,12,1979.5117471884441,6,1903.926067899263,14.585679289181144,75.58567928918114
1973.2560751905273,190,4,1985.2560751905273,3,1913.2560751905273,60.0,72.0
1906.5117471884441,187,13,1990.5117471884441,5,1896.5117471884441,10.0,94.0
