,location,sep_floor,dataType,data
326,研究大樓,odd-even-division,journey_time,804.0286125481776
327,研究大樓,odd-even-division,count_floor,743.0
328,研究大樓,odd-even-division,count_stop,16.0
329,研究大樓,odd-even-division,count_wasted,43.0
330,研究大樓,odd-even-division,waiting_time,2379.2309056299923
331,研究大樓,odd-even-division,journey_time,1351.7869859137484
332,研究大樓,odd-even-division,count_floor,914.0
333,研究大樓,odd-even-division,count_stop,48.0
334,研究大樓,odd-even-division,count_wasted,90.0
335,研究大樓,odd-even-division,waiting_time,3205.8716844102746
336,研究大樓,odd-even-division,journey_time,1228.521578702748
337,研究大樓,odd-even-division,count_floor,391.0
338,研究大樓,odd-even-division,count_stop,15.0
339,研究大樓,odd-even-division,count_wasted,8.0
340,研究大樓,odd-even-division,waiting_time,3482.7448463756486
341,研究大樓,odd-even-division,journey_time,881.9907435859798
342,研究大樓,odd-even-division,count_floor,746.0
343,研究大樓,odd-even-division,count_stop,85.0
344,研究大樓,odd-even-division,count_wasted,81.0
345,研究大樓,odd-even-division,waiting_time,2541.386122216728
346,研究大樓,odd-even-division,journey_time,1576.9126817030551
347,研究大樓,odd-even-division,count_floor,840.0
348,研究大樓,odd-even-division,count_stop,63.0
349,研究大樓,odd-even-division,count_wasted,80.0
350,研究大樓,odd-even-division,waiting_time,3248.82896826458
351,研究大樓,odd-even-division,journey_time,1423.239080370726
352,研究大樓,odd-even-division,count_floor,744.0
353,研究大樓,odd-even-division,count_stop,50.0
354,研究大樓,odd-even-division,count_wasted,76.0
355,研究大樓,odd-even-division,waiting_time,2857.97831793992
356,研究大樓,odd-even-division,journey_time,774.9939975477591
357,研究大樓,odd-even-division,count_floor,604.0
358,研究大樓,odd-even-division,count_stop,58.0
359,研究大樓,odd-even-division,count_wasted,65.0
360,研究大樓,odd-even-division,waiting_time,3668.0259605697192
361,研究大樓,odd-even-division,journey_time,1437.7876472322725
362,研究大樓,odd-even-division,count_floor,442.0
363,研究大樓,odd-even-division,count_stop,46.0
364,研究大樓,odd-even-division,count_wasted,45.0
365,研究大樓,odd-even-division,waiting_time,3596.0159028419807
366,研究大樓,odd-even-division,journey_time,1097.506433491251
367,研究大樓,odd-even-division,count_floor,630.0
368,研究大樓,odd-even-division,count_stop,97.0
369,研究大樓,odd-even-division,count_wasted,99.0
370,研究大樓,odd-even-division,waiting_time,7986.023064043665
371,研究大樓,odd-even-division,journey_time,1795.1206046191721
372,研究大樓,odd-even-division,count_floor,546.0
373,研究大樓,odd-even-division,count_stop,25.0
