action,riderNumAfter,floorIndex,direction,time
1,0,0,-1,1812.6391485414447
1,10,0,1,1812.6391485414447
1,2,8,1,1813.7647912181912
1,1,4,-1,1826.3637151628293
1,0,4,1,1826.3637151628293
1,1,15,-1,1831.196920799803
1,0,15,1,1831.196920799803
1,5,17,-1,1838.500386068892
1,0,17,1,1838.500386068892
2,0,8,1,1854.7647912181912
1,5,10,-1,1858.4015821686617
1,0,10,1,1858.4015821686617
2,0,10,1,1866.7647912181912
1,3,16,-1,1868.153699862513
1,0,16,1,1868.153699862513
2,0,15,1,1888.7647912181912
2,0,15,-1,1889.7647912181912
1,3,9,-1,1902.483447047824
1,0,9,1,1902.483447047824
1,6,12,-1,1906.0829682334154
1,1,12,1,1906.0829682334154
2,0,14,-1,1911.7647912181912
1,0,14,-1,1914.235768966948
1,1,14,1,1914.235768966948
1,3,13,-1,1931.3029482553004
1,0,13,1,1931.3029482553004
1,2,8,-1,1935.660273227072
1,0,8,1,1935.660273227072
1,11,8,-1,1938.7647912181912
1,0,0,-1,1946.7431028144379
1,11,0,1,1946.7431028144379
1,0,15,-1,1948.9544743178935
1,1,15,1,1948.9544743178935
2,0,8,-1,1957.660273227072
2,0,7,-1,1965.660273227072
2,0,14,1,1966.7647912181912
2,0,15,1,1974.7647912181912
2,0,5,-1,1977.660273227072
2,0,17,1,1985.7647912181912
1,1,6,-1,1991.3344822913864
1,0,6,1,1991.3344822913864
1,7,4,-1,1992.660273227072
2,0,4,-1,2021.660273227072
1,1,8,-1,2029.423852331423
1,0,8,1,2029.423852331423
2,0,3,-1,2034.660273227072
1,1,14,-1,2035.985024200467
1,0,14,1,2035.985024200467
2,1,14,-1,2040.985024200467
1,0,3,-1,2041.9473100169707
1,2,3,1,2041.9473100169707
2,0,1,-1,2046.660273227072
2,0,8,-1,2047.423852331423
2,0,7,-1,2055.423852331423
1,4,11,-1,2059.5530093186426
1,0,11,1,2059.5530093186426
1,0,4,-1,2062.6649491552066
1,1,4,1,2062.6649491552066
1,4,16,-1,2065.18384626987
1,0,16,1,2065.18384626987
1,1,8,-1,2066.362548482398
1,0,8,1,2066.362548482398
2,0,4,1,2077.6649491552066
1,7,12,-1,2086.8911058942826
1,1,12,1,2086.8911058942826
1,0,0,-1,2088.0936429022363
1,12,0,1,2088.0936429022363
1,0,0,-1,2091.354826900668
1,13,0,1,2091.354826900668
1,1,8,1,2096.6649491552066
1,1,4,-1,2113.198480456307
1,0,4,1,2113.198480456307
1,2,14,-1,2116.3090651451926
1,0,14,1,2116.3090651451926
1,6,17,-1,2129.457539729471
1,0,17,1,2129.457539729471
2,0,4,-1,2131.198480456307
1,0,0,-1,2132.4506083221722
1,14,0,1,2132.4506083221722
2,0,3,-1,2139.198480456307
2,0,8,1,2139.6649491552066
2,0,15,1,2170.6649491552066
1,7,17,-1,2176.6550096299484
1,0,17,1,2176.6550096299484
1,5,16,-1,2185.426980388365
1,0,16,1,2185.426980388365
1,1,15,-1,2188.1125305864866
1,0,15,1,2188.1125305864866
1,0,3,-1,2194.330519124057
1,3,3,1,2194.330519124057
1,0,0,-1,2202.799382360992
1,15,0,1,2202.799382360992
1,0,5,-1,2220.4949577715424
1,3,5,1,2220.4949577715424
2,0,5,-1,2233.4949577715424
