cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
103,"['10', '7']",1250.1648087536064,B4,[1273.5366519365214],[1287.5366519365214],2335.835191246393,14.0,2349.835191246393,1,False
104,"['B3', 'B4']",1289.5809070491002,B4,[1304.5809070491002],[1310.5809070491002],15.0,6.0,21.0,0,True
105,"['6', '5']",1306.8483452531163,5,[3527.95006135831],[3547.95006135831],2221.1017161051936,20.0,2241.1017161051936,0,True
106,"['2', '1']",1334.5271084680319,B4,[1406.5271084680319],[1412.5271084680319],2259.4728915319683,6.0,2265.4728915319683,1,False
107,['5'],1383.4456600014555,B3,[3551.95006135831],,2168.5044013568545,48.049938641690005,2216.5543399985445,0,False
108,"['B3', '1']",1384.5206404805276,10,[1391.5206404805276],[1405.5206404805276],2201.4793595194724,14.0,2215.4793595194724,1,False
109,"['2', '7']",1391.8048698220232,13,[1422.5271084680319],[1451.5271084680319],2179.1951301779773,29.0,2208.1951301779773,1,False
110,"['5', '7']",1397.3768652112494,15,[1441.5271084680319],[1451.5271084680319],2192.6231347887506,10.0,2202.6231347887506,1,False
111,"['4', '7']",1402.1958948524705,12,[1433.5271084680319],[1451.5271084680319],2179.8041051475298,18.0,2197.8041051475298,1,False
112,"['B4', '1']",1408.815132807476,3,[1426.815132807476],[1444.815132807476],2173.184867192524,18.0,2191.184867192524,1,False
113,"['4', '3']",1414.2257060091436,3,[1628.3346734726508],[1634.3346734726508],214.10896746350727,6.0,220.10896746350727,0,True
114,"['6', '7']",1421.0634602242244,10,[1656.3346734726508],[1664.3346734726508],2170.9365397757756,8.0,2178.9365397757756,1,False
115,"['13', '7']",1447.6548345838505,1,[1474.6548345838505],[1500.6548345838505],2126.3451654161495,26.0,2152.3451654161495,1,False
116,"['3', '5']",1458.4355915702793,5,[2401.1213194799966],[2418.1213194799966],942.6857279097173,17.0,959.6857279097173,0,True
117,"['6', '7']",1487.8094149140081,11,[1658.3346734726508],[1664.3346734726508],2106.190585085992,6.0,2112.190585085992,1,False
118,['7'],1490.6708910860173,10,,,2109.329108913983,,,0,False
119,"['15', '7']",1532.242829079607,B3,[1566.242829079607],[1600.242829079607],2033.757170920393,34.0,2067.757170920393,1,False
120,['1'],1536.674491769992,5,,,2063.325508230008,,,0,False
121,"['B1', '1']",1538.672244166753,10,[1545.672244166753],[1551.672244166753],2055.327755833247,6.0,2061.327755833247,1,False
